place,title,time,pay,date
경북 구미시, 롤링핀  구미 강동점,18:00~22:00,"8,720",9분전
경북 구미시, 롤링핀  구미 강동점,18:00~22:00,"8,720",9분전
경북 구미시, 롤링핀  구미 강동점,18:00~22:00,"8,720",9분전
경북 구미시, 롤링핀  구미 강동점,18:00~22:00,"8,720",3시간전
대구 달서구, 롤링핀 대구 상인점,06:00~13:00,"2,000,000",12/15
대구 달서구, 롤링핀 대구 상인점,06:00~13:00,"2,000,000",12/15
대구 달서구, 롤링핀 대구 상인점,06:00~13:00,"2,000,000",12/15
