place,title,time,pay,date
경기 화성시, 호치킨 동탄2신도시한백점,18:00~22:00,"9,000",5시간전
경기 시흥시, 호치킨 시흥목감역점, ,"2,500,000",5시간전
경기 화성시, 호치킨 동탄2신도시한백점,11:00~14:00,"9,000",8시간전
경기 화성시, 호치킨 동탄2신도시한백점,18:00~22:00,"9,000",8시간전
경기 화성시, 호치킨 동탄2신도시한백점,18:00~22:00,"9,000",12/18
경기 화성시, 호치킨 동탄2신도시한백점,11:00~14:00,"9,000",12/18
서울 노원구, 호치킨 노원역점,17:00~02:30,"2,250,000",12/16
경기 시흥시, 호치킨 시흥목감역점, ,"2,500,000",12/16
경기 용인시, 호치킨 용인동천점,19:00~24:00,"8,600",12/14
서울 강동구, 호치킨 주식회사 다울에프앤비, ,"8,590",12/11
경기 용인시, 호치킨 용인동천점,19:30~23:00,"8,600",12/10
경기 시흥시, 호치킨 시흥목감역점, ,"2,500,000",12/07
서울 영등포, 호치킨 호치킨양평역점(현-1),16:30~23:00,"10,000",12/07
경기 시흥시, 호치킨 시흥목감역점, ,"2,500,000",12/06
경기 시흥시, 호치킨 시흥목감역점, ,"2,500,000",12/05
